"lemnaID","LIB","Name","New_name","Lat","Long","Category","Genotype","from","percGerm"
"TB_setaria_12_0315","XGSC","MF46","TB_setaria_12_0315","42.72412","-114.49312","Diversity","TB_0315","XGSC_XGSC_XGSC_XGSC",0.7
"TB_setaria_12_0316","XGSG","MF47","TB_setaria_12_0316","42.66378","-114.2741","Diversity","TB_0316","XGSG_XGSG_XGSG_XGSG",0.65
"TB_setaria_12_0317","XGSH","MF48","TB_setaria_12_0317","42.50507","-113.4093","Diversity","TB_0317","XGSH_XGSH_XGSH_XGSH",0.3
"TB_setaria_12_0319","XGSO","MF50","TB_setaria_12_0319","41.55272","-112.06996","Diversity","TB_0319","XGSO_XGSO_XGSO_XGSO",0.8
"TB_setaria_12_0323","XGSS","MF54","TB_setaria_12_0323","41.412","-112.05254","Diversity","TB_0323","XGSS_XGSS_XGSS_XGSS",0.45
"TB_setaria_12_0333","XGTB","MF64","TB_setaria_12_0333","41.66185","-111.90003","Diversity","TB_0333","XGTB_XGTB_XGTB_XGTB",0.25
"TB_setaria_12_0334","XGTC","MF65","TB_setaria_12_0334","41.7434","-111.79655","Diversity","TB_0334","XGTC_XGTC_XGTC_XGTC",0.3
"TB_setaria_12_0335","XGTG","MF66","TB_setaria_12_0335","41.72233","-111.83573","Diversity","TB_0335","XGTG_XGTG_XGTG_XGTG",0.65
"TB_setaria_12_0336","XGTH","MF67","TB_setaria_12_0336","41.94046","-111.81351","Diversity","TB_0336","XGTH_XGTH_XGTH_XGTH",0.75
"TB_setaria_12_0337","XGTN","MF68","TB_setaria_12_0337","42.02792","-111.80898","Diversity","TB_0337","XGTN_XGTN_XGTN_XGTN",0.75
"TB_setaria_12_0339","XGTP","MF70","TB_setaria_12_0339","42.68338","-112.2363","Diversity","TB_0339","XGTP_XGTP_XGTP_XGTP",0.65
"TB_setaria_12_0341","XGTT","MF72","TB_setaria_12_0341","42.84663","-112.42219","Diversity","TB_0341","XGTT_XGTT_XGTT_XGTT",0.6
"TB_setaria_12_0347","XGUA","MF78","TB_setaria_12_0347","47.65565","-116.70348","Diversity","TB_0347","XGUA_XGUA_XGUA_XGUA",0.6
"TB_setaria_12_0348","XGUB","MF79","TB_setaria_12_0348","47.67236","-116.77063","Diversity","TB_0348","XGUB_XGUB_XGUB_XGUB",0.85
"TB_setaria_12_0352","XGUN","MF83","TB_setaria_12_0352","46.04811","-118.51066","Diversity","TB_0352","XGUN_XGUN_XGUN_XGUN",0.55
"TB_setaria_12_0353","XGUO","MF84","TB_setaria_12_0353","46.07269","-118.79476","Diversity","TB_0353","XGUO_XGUO_XGUO_XGUO",0.75
"TB_setaria_12_0354","XGUP","MF85","TB_setaria_12_0354","45.84015","-119.28967","Diversity","TB_0354","XGUP_XGUP_XGUP_XGUP",0.65
"TB_setaria_12_0355","XGUS","MF86","TB_setaria_12_0355","45.8271","-119.31114","Diversity","TB_0355","XGUS_XGUS_XGUS_XGUS",0.7
"TB_setaria_12_0358","XGUW","MF89","TB_setaria_12_0358","44.8774","-122.65508","Diversity","TB_0358","XGUW_XGUW_XGUW_XGUW",0.9
"TB_setaria_12_0362","XSHP","MF93","TB_setaria_12_0362","44.63194","-121.13349","Diversity","TB_0362","XSHP_XSHP_XSHP_XSHP",0.7
"TB_setaria_12_0363","XSHS","MF94","TB_setaria_12_0363","44.36109","-121.14068","Diversity","TB_0363","XSHS_XSHS_XSHS_XSHS",0.9
"TB_setaria_12_0366","XSHW","MF97","TB_setaria_12_0366","42.21199","-122.72852","Diversity","TB_0366","XSHW_XSHW_XSHW_XSHW",0.95
