"","gwas_label","height_dap22_cm","SV_area_dap22_cm2"
"151","TB_setaria_16_0665",17.9623397689009,86.2539854989872
"152","TB_setaria_16_0667",23.3557316055162,149.438860169641
"153","TB_setaria_16_0669",15.8362490738874,75.8984258458501
"154","TB_setaria_16_0670",15.7893500144386,106.422023497782
"155","TB_setaria_16_0671",12.4907828332044,97.7667762042663
"156","TB_setaria_16_0672",15.5626712271026,90.1760748760652
"157","TB_setaria_16_0673",17.0165420700162,85.0499677256991
"158","TB_setaria_16_0674",16.5631844953442,89.8607086860625
"159","TB_setaria_16_0675",13.6398097897007,93.6400689517968
"160","TB_setaria_16_0676",19.7914030874053,93.3205571029578
"161","TB_setaria_16_0677",19.0722841758565,124.022714203314
"162","TB_setaria_16_0678",26.9825922028921,51.2883144045824
"163","TB_setaria_16_0679",19.4162106118146,91.0146824348337
"164","TB_setaria_16_0680",18.3375322444915,82.8059818216223
"165","TB_setaria_16_0681",22.3395853174582,115.083489279552
"166","TB_setaria_16_0682",21.8471451932456,111.910579677786
"167","TB_setaria_16_0683",24.3015293044008,94.709352812924
"168","TB_setaria_16_0684",20.627769647576,91.0031338137912
"169","TB_setaria_16_0685",17.8529086301871,82.5738249268221
"170","TB_setaria_16_0686",19.6350728892425,79.1939285017582
"171","TB_setaria_16_0687",19.494375710896,88.6483995951031
"172","TB_setaria_16_0688",21.0733107123399,95.8091368783425
"173","TB_setaria_16_0689",20.8700814547283,123.178184274781
"174","TB_setaria_16_0690",9.72373832572356,53.3824643535969
"175","TB_setaria_16_0691",14.2963966219842,76.0790581236921
"176","TB_setaria_16_0692",19.4318436316308,87.0860784510136
"177","TB_setaria_16_0693",18.6580091507252,89.6199643551027
"178","TB_setaria_16_0695",14.2260480328111,70.1332949978066
"179","TB_setaria_16_0696",17.3526519960662,51.6726762023512
"180","TB_setaria_16_0697",8.1838858738204,31.1039898889328
"181","TB_setaria_16_0698",20.4323568998725,93.4686163470909
"182","TB_setaria_16_0699",16.3521387278245,107.784464662293
"183","TB_setaria_16_0700",14.3823782309738,63.8194565910071
"184","TB_setaria_16_0701",20.06498093419,72.9822509734103
"185","TB_setaria_16_0702",19.2286143740193,66.3885805951996
"186","TB_setaria_16_0703",19.1191832353053,81.1136646611843
