"genotype","tv.hue_circular_mean","totalSV.nir_median","WUE.resid","avg.sv.height","avg.sv.area","area.over.water","water.amount.plus.cum","trt.day"
"TB_setaria_12_0323",0.00904874666226721,0.154043151623414,-0.986469803160266,-1.27439927782677,-0.886951613918802,-0.721608545058146,-0.0310498173688552,"dry.11"
"TB_setaria_16_0704",0.0551731458195099,0.117929504781103,0.0444402641262501,-0.148122389364859,0.0538131721056965,0.0603720746690789,-0.0286578464224877,"dry.11"
"TB_setaria_12_0274",-0.0210066662686027,0.143023912526338,0.199326670489375,0.0809162929082882,0.207791365492,0.270296788038361,-0.0367407782198967,"dry.11"
"TB_setaria_12_0490",-0.0194770130864163,0.0170409672730991,-0.683630182514876,-0.740760865372981,-0.669357891116259,-0.597291797253234,-0.0403712585104791,"dry.11"
"TB_setaria_16_0685",0.0903844808656213,-0.106396858137953,0.183905346430742,-0.0292082220449711,0.193188974568441,0.166193502550443,-0.0299352108629455,"dry.11"
"TB_setaria_12_0558",-0.00873250731817854,-0.128504425890722,0.725084903159587,0.570724445564142,0.745657216856865,0.68753890847777,-0.020943680552639,"dry.11"
"TB_setaria_16_0779",0.082323919156549,0.0599595627921223,0.0790492024082343,-0.0462363497299223,0.0605515888476926,0.0855928245104799,-0.0399080689223039,"dry.11"
"TB_setaria_16_0777",0.0161860480389492,0.0506497995184549,1.03647854134719,1.0547354493537,1.03711086623032,1.14996561651671,-0.0284115740887908,"dry.11"
"TB_setaria_12_0104",0.0677427771652125,-0.0316433261370331,0.285749021690231,0.393376713060381,0.326491794000299,0.268224759225976,-0.0298152891993571,"dry.11"
"TB_setaria_12_0496",-0.0890940278176672,-0.0454778218079571,0.124729078716616,0.395003938133179,0.185054287589666,0.0642646919691083,-0.015801651798059,"dry.11"
"TB_setaria_12_0334",0.0817242919516767,0.447414901089586,-1.330511857583,-1.33225788478796,-1.25717115537742,-1.10636693012115,-0.0254746604988652,"dry.11"
"TB_setaria_12_0449",-0.0293427313447659,0.203302311971607,-0.619587446903864,-0.602500321170693,-0.592217215804252,-0.506321008130828,-0.0301558024200684,"dry.11"
"TB_setaria_12_0366",-0.0145646921817152,0.120418130417929,-0.393277875131103,-0.367322651289084,-0.304724194163605,-0.420709177201983,-0.00610139554519623,"dry.11"
"TB_setaria_12_0564",0.0387613001577953,0.181042983011101,-0.704950967990468,-1.14976269256476,-0.636908551196764,-0.608642697869085,-0.0283785967110137,"dry.11"
"TB_setaria_12_0447",0.103782700961586,-0.0536039004976996,0.163724423715842,0.25917444280855,0.210736659934366,0.0784907587560022,-0.0110509012366612,"dry.11"
"TB_setaria_16_0755",0.0551695564252186,0.0995721965917515,-0.00480252585119697,0.158204563014483,0.0342033227104509,0.0212080595127329,-0.026415129956919,"dry.11"
"TB_setaria_16_0664",0.0182481648556691,0.0700394936677962,0.680478781821911,0.598770690852805,0.675860058330542,0.750055454811089,-0.0339010213932756,"dry.11"
"TB_setaria_16_0658",-0.235647833842038,0.129633066333277,-0.219715186819881,0.00110646696533422,-0.224394670107406,-0.216000708112205,-0.0358369683214253,"dry.11"
"TB_setaria_16_0735",0.0591231641058416,0.0730481769999491,0.127591154244589,0.0603449166883764,0.130898394018734,0.157995670916832,-0.0350669071930039,"dry.11"
"TB_setaria_12_0531",0.0340686630630396,0.142038265027784,0.444844403639989,-0.00658595238008,0.468258652611769,0.400478280660456,-0.0215145352589163,"dry.11"
"TB_setaria_12_0477",0.146263841015474,0.0150819242713954,-0.956024824323433,-0.78269589967994,-0.947338034630159,-0.766997600779094,-0.0454006627865439,"dry.11"
"TB_setaria_12_0003",-0.183125198411453,0.0220855062267405,1.38833376287862,1.14430279276739,1.41060866584574,1.40743756545259,-0.00443810389704499,"dry.11"
"TB_setaria_12_0593",0.111344499077063,0.0248301659892771,-0.848050963176586,-0.832648720164127,-0.759511056949817,-0.760834438321172,-0.0127315224642929,"dry.11"
"TB_setaria_12_0100",0.0166342650239685,0.0906498695825889,-0.101446334831545,0.0770491466771126,-0.081944706674029,-0.0802774598764675,-0.0347490841991207,"dry.11"
"TB_setaria_16_0785",0.0653870729178017,0.00508699400297821,0.160217412092642,0.196154864391543,0.167813991820381,0.225188068045185,-0.0362370314631335,"dry.11"
"TB_setaria_16_0663",-0.0409544689863801,0.144543137481257,-0.0339565922482322,-0.249270529204319,-0.00662048458668664,-0.068492003159745,-0.0254942061024049,"dry.11"
"TB_setaria_16_0676",-0.0800973035374276,0.0762550468147235,0.155127211178182,-0.18072418598051,0.164782899517854,0.126947800790523,-0.0288572883581976,"dry.11"
"TB_setaria_12_0103",0.135717298688608,-0.223776856577184,-0.366954790957762,-0.0870542394720276,-0.296725771493939,-0.381420931436705,-0.0167704415083607,"dry.11"
"TB_setaria_16_0672",0.0265619222032855,-0.0425493902845191,-0.42136259232008,-0.551553835925345,-0.401772995890171,-0.353878210968021,-0.0356476957518871,"dry.11"
"TB_setaria_12_0167",0.0718118876100868,-0.0944150374114368,-0.755092530625351,-0.553027767670276,-0.775913767543994,-0.541698953513134,-0.0462654412225348,"dry.11"
"TB_setaria_12_0550",0.0118562596324643,0.137784226817269,-0.202233872496082,-0.343982676103475,-0.209882488397664,-0.155388740743576,-0.0405315266135562,"dry.11"
"TB_setaria_12_0368",0.0829654022728629,-0.265962635778942,0.336475589061232,0.702691017867914,0.363371360440398,0.383271252378655,-0.0249024945631999,"dry.11"
"TB_setaria_12_0428",-0.0594296822432924,0.133049881850323,0.0193346750672662,0.123501763239893,0.0413815803544691,0.0461106373535174,-0.03451073815211,"dry.11"
"TB_setaria_12_0336",-0.0786645233195759,0.115583139138329,-0.511590548391942,-0.538221762148153,-0.478010157334223,-0.421757086973309,-0.0326056417206572,"dry.11"
"TB_setaria_16_0737",-0.0387427048862257,0.0820117746355149,0.785217155580249,0.535343759118688,0.80206359235344,0.922000617457895,-0.0299926277461752,"dry.11"
"TB_setaria_12_0453",0.00918201173045086,-0.0261907950417709,0.450518759662014,0.467620643272773,0.443229934555361,0.478475471149738,-0.0343128148562584,"dry.11"
"TB_setaria_16_0712",-0.0940119332917404,0.151807348810371,-0.449393626785852,-0.468755597198835,-0.451231906306702,-0.424386034854045,-0.0381565734187881,"dry.11"
"TB_setaria_12_0577",0.0804388833310336,0.285982830872528,-0.0816036794835252,-0.0956884463834306,-0.0977428893971508,-0.0381118176635777,-0.042289561091611,"dry.11"
"TB_setaria_16_0722",0.0341839923879168,0.206955070579038,-0.914779053534478,-1.32059250812486,-0.85676476538877,-0.730397459526184,-0.0313988877572402,"dry.11"
"TB_setaria_16_0677",-0.00680310356357419,0.291789507096098,0.151975885576299,0.268692483308204,0.182047217934197,0.0968295183913224,-0.0206612991788776,"dry.11"
"TB_setaria_12_0544",0.100291600688426,0.219486008337928,-0.572458870252248,-0.598141192248976,-0.499029039450677,-0.550981371716544,-0.0138909628711782,"dry.11"
"TB_setaria_12_0420",-0.0578751107041094,0.124662842369701,0.37767873100663,0.324169259428507,0.386383594411325,0.6485189569838,-0.026146132781167,"dry.11"
"TB_setaria_16_0728",-0.118586591908676,-0.00292577477104978,0.952568036174449,0.925514383562993,0.953094261537094,1.01166665677074,-0.0277753812529216,"dry.11"
"TB_setaria_16_0748",0.0747603517658848,-0.0728274410230211,0.436888414682498,0.517348195048157,0.419400642359264,0.572464452535557,-0.0441964012232249,"dry.11"
"TB_setaria_12_0159",-0.0426494417032812,0.185976678991702,1.29175952408893,1.81788828980657,1.30303224385554,1.32461839177081,-0.0264829729117663,"dry.11"
"TB_setaria_16_0717",0.0747395693007558,0.0510967887732009,-0.0387381968715474,-0.0790450745145834,-0.0216653691173332,-0.0912069933771935,-0.027088955501247,"dry.11"
"TB_setaria_12_0130",-0.141695689625233,-0.110274059569849,1.41059701094711,1.33002708959926,1.41284138873846,1.62921554666243,-0.0266726215565327,"dry.11"
"TB_setaria_12_0333",-0.0406433256295588,0.135593664115524,-0.494730081736412,-0.911377269776325,-0.492000291637402,-0.467947933502401,-0.0335178126307702,"dry.11"
"TB_setaria_12_0444",-0.0471778529583508,0.139689382010188,-0.60055550820001,-0.938058834942871,-0.598037672766686,-0.388580749103187,-0.0390002397618653,"dry.11"
"TB_setaria_12_0161",0.0699312817465145,-0.255524238216581,0.883029077449007,0.946805029691886,0.883846106168729,1.00264851156343,-0.0306647415855423,"dry.11"
"TB_setaria_16_0794",-0.00641662940840042,-0.0685109549492879,-0.625292126572161,-0.998845830158958,-0.628869253586313,-0.532687692053761,-0.0353508068140013,"dry.11"
"TB_setaria_16_0761",0.0480257740690209,0.186429977069773,0.379963718875788,0.284373006269482,0.384146691596525,0.380966850818042,-0.0318869510344382,"dry.11"
"TB_setaria_12_0549",-0.134905287805877,0.224537383908454,-1.02400655555878,-1.13857510730427,-0.966910054224016,-0.897709222827128,-0.0284195468559649,"dry.11"
"TB_setaria_12_0495",-0.0110835929561763,0.122766012186775,-0.276681254051817,-0.62234847413832,-0.266012905507812,-0.101081058345036,-0.0379779605769432,"dry.11"
"TB_setaria_12_0347",0.0247072807611517,0.0706557337137859,-0.549735648206574,-0.335409138821462,-0.527411570053377,-0.218392444014433,-0.0391169200951584,"dry.11"
"TB_setaria_12_0131",0.0231824275987022,0.159502812866878,0.498532297221525,0.944546722684718,0.525577202991759,0.488380000388957,-0.0315152117495881,"dry.11"
"TB_setaria_16_0787",0.182651282637466,-0.124449440462796,-0.225024400405578,-0.436260320422472,-0.227457392859729,-0.214519796630573,-0.0350639544161169,"dry.11"
"TB_setaria_12_0407",0.105594040549481,0.0402514119850481,-0.332325453496199,-0.26412015198561,-0.291806847868682,-0.115292983430029,-0.027183818597246,"dry.11"
"TB_setaria_12_0580",-0.120762430150955,0.116543582603461,-0.697622101110656,-0.752657458236389,-0.722510208460947,-0.4770166050719,-0.0468078230911974,"dry.11"
"TB_setaria_16_0718",-0.182825600726099,0.245314308072248,0.190197285250319,-0.385201032660606,0.218515315796236,0.14932854908664,-0.0228400271477974,"dry.11"
"TB_setaria_12_0597",0.0769242812476051,0.106160035645772,-1.19068077606776,-0.936531000620811,-1.05959166576098,-0.985427209633328,-0.0126150213810605,"dry.11"
"TB_setaria_12_0469",-0.0459024674691645,-0.00206567085572409,-0.392359037819326,-0.148936607889297,-0.356746226216026,-0.351727716808086,-0.0323988992219944,"dry.11"
"TB_setaria_12_0456",-0.168209322802559,0.118526477554114,-0.354128618187592,-0.160710382755048,-0.331704629731566,-0.309545299841264,-0.0293925617525487,"dry.11"
"TB_setaria_16_0724",-0.0223264082146927,-0.0477930406312572,-0.415994025045853,-0.379592254142211,-0.442277741108267,-0.378741111547705,-0.0443132330198005,"dry.11"
